,Episode Number,First Activation Time [ms],First Event Time [ms],First Event Amplitude[pA]
377,377,14.325,14.400,-1.630
378,378,14.325,14.400,-1.630
379,379,14.700,14.250,-0.530
380,380,14.325,14.175,-0.530
381,381,14.450,14.350,-0.530
382,382,14.475,13.950,-0.530
383,383,14.375,14.450,-1.630
384,384,14.375,13.625,-0.530
385,385,14.450,14.325,-0.530
386,386,14.400,14.275,-0.530
387,387,14.450,14.225,-0.530
388,388,14.250,13.575,-0.530
389,389,14.500,14.550,-1.630
390,390,14.450,13.750,-0.530
391,391,14.325,14.400,-1.630
392,392,14.425,14.350,-1.100
393,393,14.225,14.025,-0.530
394,394,14.475,14.375,-0.530
395,395,14.350,14.100,-0.530
396,396,14.525,12.975,-0.530
397,397,14.350,14.100,-0.530
398,398,14.525,14.450,-1.100
399,399,14.525,14.775,-2.170
400,400,14.400,14.275,-0.530
401,401,14.500,14.400,-0.530
402,402,14.475,14.550,-1.100
403,403,14.425,14.350,-0.530
404,404,14.425,14.500,-1.630
405,405,14.350,14.425,-1.630
406,406,14.525,14.375,-0.530
407,407,14.375,14.300,-0.530
408,408,14.350,14.425,-1.630
409,409,14.425,14.400,-1.100
410,410,14.400,14.525,-2.170
411,411,14.275,12.850,-0.530
412,412,14.325,14.175,-0.530
413,413,14.550,14.625,-1.630
414,414,14.425,13.200,-0.530
415,415,14.400,14.300,-0.530
416,416,14.375,14.250,-0.530
417,417,14.450,14.350,-0.530
418,418,14.250,14.100,-0.530
419,419,14.325,14.400,-1.630
420,420,14.475,14.550,-1.630
421,421,14.350,13.900,-0.530
422,422,14.350,14.075,-0.530
423,423,14.350,14.225,-0.530
424,424,14.325,14.200,-0.530
425,425,14.350,13.500,-0.530
426,426,16.750,16.700,-1.100
427,427,14.475,14.525,-1.630
428,428,14.375,14.250,-0.530
429,429,14.350,14.425,-1.630
430,430,14.325,14.525,-2.170
431,431,14.375,14.450,-1.630
432,432,14.350,14.425,-1.630
433,433,14.400,14.350,-1.100
434,434,14.375,14.250,-0.530
435,435,14.300,14.375,-1.630
436,436,14.425,14.325,-0.530
437,437,14.375,14.450,-1.100
438,438,14.450,14.400,-1.100
439,439,14.100,13.875,-0.530
440,440,14.375,14.425,-1.630
441,441,14.500,14.050,-0.530
442,442,14.450,14.350,-0.530
443,443,14.325,14.200,-0.530
444,444,14.550,14.500,-1.100
445,445,14.300,13.775,-0.530
446,446,14.400,13.725,-0.530
447,447,14.425,14.375,-1.100
448,448,14.250,14.025,-0.530
449,449,14.425,14.175,-0.530
450,450,14.425,14.350,-1.100
451,451,14.350,14.125,-0.530
452,452,14.275,13.850,-0.530
453,453,14.475,14.075,-0.530
454,454,14.500,14.125,-0.530
455,455,14.525,14.575,-1.630
456,456,14.425,14.500,-1.630
457,457,14.400,14.475,-1.100
458,458,14.450,14.325,-0.530
459,459,14.375,13.500,-0.530
460,460,14.375,14.450,-1.630
461,461,14.375,14.250,-0.530
462,462,14.275,14.025,-0.530
463,463,13.725,13.250,-0.530
464,464,14.400,14.450,-1.630
465,465,14.300,14.375,-1.630
466,466,10.000,13.000,-0.530
467,467,10.000,12.775,-0.530
468,468,10.000,12.825,-0.530
469,469,13.650,12.700,-0.530
470,470,10.000,13.450,-0.530
471,471,12.850,12.650,-0.530
472,472,13.825,13.625,-0.530
473,473,10.000,13.050,-0.530
474,474,10.000,13.650,-0.530
475,475,13.350,13.175,-0.530
476,476,13.175,12.675,-0.530
477,477,0.550,13.400,-0.530
478,478,10.000,12.950,-0.530
479,479,13.900,13.275,-0.530
480,480,10.000,13.350,-0.530
481,481,10.000,13.225,-0.530
482,482,10.000,12.625,-0.530
483,483,13.825,12.650,-0.530
484,484,10.000,11.650,-0.530
485,485,99.875,99.750,-0.530
